Kind,Name,CountLineCode,MaxCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountDeclInstanceMethod,MaxInheritanceTree,CountDeclMethod,CountDeclInstanceVariable,PercentLackOfCohesion
File,"BaseMessageSender.java",195,9,,,,,11,,12,10,
File,"BaseOrderMethodTest.java",33,2,,,,,3,,4,3,
File,"BasePrivateAccessConfigurationMethods.java",19,1,,,,,3,,3,3,
File,"BaseSample.java",33,1,,,,,10,,10,0,
File,"BaseSample1.java",7,1,,,,,1,,1,0,
File,"BaseSampleInheritance.java",31,1,,,,,5,,5,3,
File,"BaseSampleTest3.java",8,1,,,,,1,,1,0,
File,"BaseSequentialSample.java",20,2,,,,,3,,3,0,
File,"BaseSuiteTest.java",12,1,,,,,1,,1,0,
File,"BaseTest.java",395,7,,,,,66,,68,14,
File,"BaseTest.java",25,1,,,,,5,,7,0,
File,"BaseTestCase.java",37,1,,,,,11,,11,0,
File,"BaseTestClass.java",19,2,,,,,3,,3,0,
File,"BaseTestMethod.java",321,9,,,,,62,,63,19,
File,"BaseTestMethod.java",449,10,,,,,80,,81,27,
File,"BaseThreadTest.java",44,2,,,,,4,,7,0,
File,"Basic1.java",23,1,,,,,2,,5,0,
File,"Basic2.java",28,1,,,,,4,,4,1,
File,"BeanShellTest.java",21,1,,,,,1,,2,0,
File,"BeforeClass.java",15,0,,,,,8,,8,0,
File,"BeforeClassThreadA.java",14,1,,,,,2,,2,0,
File,"BeforeClassThreadB.java",14,1,,,,,2,,2,0,
File,"BeforeClassThreadTest.java",14,1,,,,,1,,1,0,
File,"BeforeGroupTest.java",9,1,,,,,1,,1,0,
File,"BeforeGroups.java",16,0,,,,,9,,9,0,
File,"BeforeMethod.java",16,0,,,,,9,,9,0,
File,"BeforeMethodTest.java",23,1,,,,,2,,2,2,
File,"BeforeSampleTest.java",22,1,,,,,0,,3,0,
File,"BeforeSuite.java",15,0,,,,,8,,8,0,
File,"BeforeSuiteAnnotation.java",3,0,,,,,0,,0,0,
File,"BeforeTest.java",15,0,,,,,8,,8,0,
File,"BeforeTestFailingTest.java",17,1,,,,,1,,1,0,
File,"BeforeTestOrdering1Test.java",21,1,,,,,3,,4,0,
File,"BeforeTestOrdering2Test.java",21,1,,,,,3,,4,0,
File,"BeforeTestOrderingTest.java",47,1,,,,,2,,4,0,
File,"BooleanTest.java",32,3,,,,,4,,4,2,
File,"BugBase.java",19,1,,,,,3,,3,0,
File,"C.java",11,1,,,,,2,,2,0,
File,"C.java",17,1,,,,,3,,3,0,
