Kind,Name,CountLineCode,MaxCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountDeclInstanceMethod,MaxInheritanceTree,CountDeclMethod,CountDeclInstanceVariable,PercentLackOfCohesion
File,"B.java",50,1,,,,,22,,22,0,
File,"B.java",6,1,,,,,1,,1,0,
File,"B.java",9,1,,,,,1,,2,0,
File,"B.java",6,1,,,,,1,,1,0,
File,"B.java",10,1,,,,,3,,3,0,
File,"B.java",8,1,,,,,1,,1,0,
File,"B.java",7,1,,,,,1,,1,0,
File,"B.java",15,1,,,,,1,,2,0,
File,"B.java",14,1,,,,,2,,2,0,
File,"B.java",25,1,,,,,8,,8,0,
File,"BListener.java",18,1,,,,,3,,3,0,
File,"BSample.java",6,1,,,,,1,,1,0,
File,"BSample.java",6,1,,,,,1,,1,0,
File,"BabyPanda.java",19,4,,,,,3,,3,1,
File,"BadMethodObjectFactoryFactory.java",8,1,,,,,1,,1,0,
File,"BadMethodReturnTypeFactory.java",8,1,,,,,1,,1,0,
File,"BannerPanel.java",19,2,,,,,2,,2,0,
File,"Base.java",16,1,,,,,2,,2,0,
File,"Base.java",12,1,,,,,3,,3,0,
File,"Base.java",14,1,,,,,2,,2,0,
File,"Base.java",42,2,,,,,10,,10,1,
File,"Base.java",21,1,,,,,2,,2,0,
File,"Base.java",6,1,,,,,1,,1,0,
File,"Base.java",8,1,,,,,1,,1,0,
File,"Base.java",19,1,,,,,3,,3,1,
File,"Base0.java",6,1,,,,,1,,1,0,
File,"Base1.java",10,1,,,,,2,,2,0,
File,"Base1.java",12,1,,,,,3,,3,0,
File,"Base2.java",12,1,,,,,3,,3,0,
File,"Base3.java",15,1,,,,,1,,2,0,
File,"BaseAfter.java",14,1,,,,,2,,2,0,
File,"BaseAfterClassCalledAtEnd.java",9,1,,,,,1,,1,1,
File,"BaseAggregate.java",4,0,,,,,0,,0,0,
File,"BaseAnnotation.java",26,1,,,,,6,,6,3,
File,"BaseBefore.java",15,1,,,,,2,,2,0,
File,"BaseBeforeAfter.java",42,1,,,,,10,,10,5,
File,"BaseBeforeTestOrdering.java",6,1,,,,,1,,1,0,
File,"BaseClass.java",13,1,,,,,3,,3,0,
File,"BaseClass.java",33,2,,,,,5,,5,2,
File,"BaseClass.java",6,1,,,,,1,,1,0,
File,"BaseClassA.java",29,1,,,,,5,,5,0,
File,"BaseClassFinder.java",41,2,,,,,5,,5,1,
File,"BaseClassSample.java",16,2,,,,,1,,1,0,
File,"BaseClassSample.java",8,1,,,,,1,,1,0,
File,"BaseClassSample.java",9,1,,,,,1,,1,0,
File,"BaseClassScope.java",4,0,,,,,0,,0,0,
File,"BaseClassWithBeforeGroups.java",11,1,,,,,2,,2,0,
File,"BaseClassWithFullDefinitionOfDataProviderInClassLevel.java",5,0,,,,,0,,0,0,
File,"BaseClassWithFullDefinitionOfDataProviderInTestMethod.java",11,1,,,,,1,,1,0,
File,"BaseClassWithPartialDefinitionOfDataProviderInTestMethod.java",10,1,,,,,1,,1,0,
File,"BaseConfigurableSample.java",17,1,,,,,4,,4,0,
File,"BaseDistributedTest.java",42,4,,,,,3,,3,1,
File,"BaseFactory.java",8,1,,,,,1,,1,0,
File,"BaseFactorySample.java",17,1,,,,,4,,4,1,
File,"BaseFactorySample.java",10,1,,,,,2,,2,0,
File,"BaseFailuresTest.java",71,8,,,,,2,,5,0,
File,"BaseGitHub1338Sample.java",18,2,,,,,2,,2,1,
File,"BaseGroupsASampleTest.java",7,1,,,,,1,,1,0,
File,"BaseGroupsBSampleTest.java",6,1,,,,,1,,1,0,
File,"BaseGroupsTest.java",45,1,,,,,2,,2,0,
File,"BaseIntegrationTest.java",10,1,,,,,2,,2,0,
File,"BaseInvoker.java",93,5,,,,,6,,7,6,
File,"BaseListener.java",22,1,,,,,7,,7,0,
File,"BaseMultiSuitePanel.java",31,2,,,,,6,,6,0,
File,"BaseOrderMethodTest.java",32,2,,,,,3,,3,3,
File,"BasePanel.java",30,3,,,,,3,,5,1,
File,"BaseParallelizationTest.java",751,12,,,,,0,,29,0,
File,"BasePrivateAccessConfigurationMethods.java",19,1,,,,,3,,3,3,
File,"BaseSample.java",4,0,,,,,0,,0,0,
File,"BaseSample.java",9,1,,,,,2,,2,0,
File,"BaseSample1.java",6,1,,,,,1,,1,0,
File,"BaseSampleInheritance.java",32,1,,,,,5,,5,3,
File,"BaseSampleTest3.java",8,1,,,,,1,,1,0,
File,"BaseSequentialSample.java",18,1,,,,,3,,3,0,
File,"BaseSuiteTestSample.java",17,1,,,,,2,,2,0,
File,"BaseTest.java",19,1,,,,,2,,2,0,
File,"BaseTest.java",346,4,,,,,63,,64,13,
